column,dtype,null_count,non_null_count,min,max,mean,std
date,datetime64[ns],0,19735,,,,
Appliances,int64,0,19735,10.0,1080.0,97.6949581960983,102.52489053740624
lights,int64,0,19735,0.0,70.0,3.8018748416518875,7.935987600215888
T1,float64,0,19735,16.79,26.26,21.686571386747413,1.606065644813958
RH_1,float64,0,19735,27.0233333333333,63.36,40.259739279782515,3.979298830435577
T2,float64,0,19735,16.1,29.8566666666667,20.341219463847917,2.192973533521989
RH_2,float64,0,19735,20.463333333333296,56.0266666666667,40.42042041370503,4.069812540449691
T3,float64,0,19735,17.2,29.236,22.267610984878946,2.0061105361434723
RH_3,float64,0,19735,28.7666666666667,50.1633333333333,39.242500077205484,3.254576492620411
T4,float64,0,19735,15.1,26.2,20.85533472240959,2.0428844769854635
RH_4,float64,0,19735,27.66,51.09,39.02690378814384,4.34132065313902
T5,float64,0,19735,15.33,25.795,19.5921063280172,1.844623273500606
RH_5,float64,0,19735,29.815,96.3216666666667,50.949282629621024,9.022034306523494
T6,float64,0,19735,-6.065,28.29,7.910939332403422,6.090346609884242
RH_6,float64,0,19735,1.0,99.9,54.609083387582494,31.149805875511532
T7,float64,0,19735,15.39,26.0,20.267106470135438,2.109993324051781
RH_7,float64,0,19735,23.2,51.4,35.38820021508358,5.114208029896706
T8,float64,0,19735,16.3066666666667,27.23,22.029106722979208,1.9561617218041771
RH_8,float64,0,19735,29.6,58.78,42.93616537238735,5.224360679597522
T9,float64,0,19735,14.89,24.5,19.485828160608307,2.0147123860744838
RH_9,float64,0,19735,29.1666666666667,53.3266666666667,41.55240075337498,4.151497323850506
T_out,float64,0,19735,-5.0,26.1,7.4116645553585006,5.317408805653686
Press_mm_hg,float64,0,19735,729.2999999999998,772.2999999999998,755.5226019761843,7.399440659853588
RH_out,float64,0,19735,24.0,100.0,79.75041803901698,14.901087557526917
Windspeed,float64,0,19735,0.0,14.0,4.0397517101596145,2.45122060573431
Visibility,float64,0,19735,1.0,66.0,38.33083354446415,11.79471875736811
Tdewpoint,float64,0,19735,-6.6,15.5,3.760706865974157,4.194647835033515
rv1,float64,0,19735,0.0053216819651424,49.9965296825394,24.988033485049435,14.496633860415857
rv2,float64,0,19735,0.0053216819651424,49.9965296825394,24.988033485049435,14.496633860415857
