date,predicted_Appliances
2016-05-27 18:10:00,224.75
2016-05-27 18:20:00,241.66
2016-05-27 18:30:00,276.32
2016-05-27 18:40:00,261.37
2016-05-27 18:50:00,228.31
2016-05-27 19:00:00,196.12
2016-05-27 19:10:00,205.7
2016-05-27 19:20:00,201.75
2016-05-27 19:30:00,185.41
2016-05-27 19:40:00,168.05
2016-05-27 19:50:00,161.55
2016-05-27 20:00:00,158.14
2016-05-27 20:10:00,149.8
2016-05-27 20:20:00,142.86
2016-05-27 20:30:00,136.63
2016-05-27 20:40:00,134.37
2016-05-27 20:50:00,129.54
2016-05-27 21:00:00,127.15
2016-05-27 21:10:00,122.68
2016-05-27 21:20:00,120.36
2016-05-27 21:30:00,118.84
2016-05-27 21:40:00,114.37
2016-05-27 21:50:00,114.17
2016-05-27 22:00:00,111.09
2016-05-27 22:10:00,111.48
2016-05-27 22:20:00,109.17
2016-05-27 22:30:00,108.47
2016-05-27 22:40:00,107.39
2016-05-27 22:50:00,106.31
2016-05-27 23:00:00,105.76
2016-05-27 23:10:00,105.43
2016-05-27 23:20:00,104.51
2016-05-27 23:30:00,104.52
2016-05-27 23:40:00,103.55
2016-05-27 23:50:00,102.07
2016-05-28 00:00:00,90.24
2016-05-28 00:10:00,88.53
2016-05-28 00:20:00,85.14
2016-05-28 00:30:00,84.03
2016-05-28 00:40:00,81.19
2016-05-28 00:50:00,77.55
2016-05-28 01:00:00,77.62
2016-05-28 01:10:00,75.49
2016-05-28 01:20:00,73.76
2016-05-28 01:30:00,72.85
2016-05-28 01:40:00,71.81
2016-05-28 01:50:00,71.22
2016-05-28 02:00:00,70.28
2016-05-28 02:10:00,70.12
2016-05-28 02:20:00,69.25
2016-05-28 02:30:00,69.24
2016-05-28 02:40:00,69.02
2016-05-28 02:50:00,68.74
2016-05-28 03:00:00,68.33
2016-05-28 03:10:00,68.71
2016-05-28 03:20:00,68.69
2016-05-28 03:30:00,67.99
2016-05-28 03:40:00,68.57
2016-05-28 03:50:00,68.48
2016-05-28 04:00:00,69.63
2016-05-28 04:10:00,69.74
2016-05-28 04:20:00,69.9
2016-05-28 04:30:00,69.08
2016-05-28 04:40:00,70.28
2016-05-28 04:50:00,69.93
2016-05-28 05:00:00,71.62
2016-05-28 05:10:00,70.02
2016-05-28 05:20:00,70.65
2016-05-28 05:30:00,70.95
2016-05-28 05:40:00,70.43
2016-05-28 05:50:00,71.07
2016-05-28 06:00:00,70.8
2016-05-28 06:10:00,74.89
2016-05-28 06:20:00,73.32
2016-05-28 06:30:00,71.95
2016-05-28 06:40:00,72.85
2016-05-28 06:50:00,74.33
2016-05-28 07:00:00,75.36
2016-05-28 07:10:00,73.79
2016-05-28 07:20:00,73.98
2016-05-28 07:30:00,81.99
2016-05-28 07:40:00,79.42
2016-05-28 07:50:00,82.74
2016-05-28 08:00:00,95.74
2016-05-28 08:10:00,100.77
2016-05-28 08:20:00,100.02
2016-05-28 08:30:00,93.29
2016-05-28 08:40:00,108.08
2016-05-28 08:50:00,97.78
2016-05-28 09:00:00,97.61
2016-05-28 09:10:00,93.9
2016-05-28 09:20:00,94.22
2016-05-28 09:30:00,112.56
2016-05-28 09:40:00,165.64
2016-05-28 09:50:00,156.94
2016-05-28 10:00:00,138.08
2016-05-28 10:10:00,147.16
2016-05-28 10:20:00,152.26
2016-05-28 10:30:00,158.52
2016-05-28 10:40:00,170.43
2016-05-28 10:50:00,161.09
2016-05-28 11:00:00,144.38
2016-05-28 11:10:00,166.9
2016-05-28 11:20:00,194.59
2016-05-28 11:30:00,203.76
2016-05-28 11:40:00,170.91
2016-05-28 11:50:00,171.86
2016-05-28 12:00:00,175.68
2016-05-28 12:10:00,173.0
2016-05-28 12:20:00,168.43
2016-05-28 12:30:00,159.4
2016-05-28 12:40:00,151.22
2016-05-28 12:50:00,143.87
2016-05-28 13:00:00,151.03
2016-05-28 13:10:00,172.47
2016-05-28 13:20:00,175.62
2016-05-28 13:30:00,156.06
2016-05-28 13:40:00,158.88
2016-05-28 13:50:00,159.68
2016-05-28 14:00:00,156.25
2016-05-28 14:10:00,153.76
2016-05-28 14:20:00,142.83
2016-05-28 14:30:00,134.34
2016-05-28 14:40:00,153.64
2016-05-28 14:50:00,155.21
2016-05-28 15:00:00,147.04
2016-05-28 15:10:00,157.42
2016-05-28 15:20:00,160.34
2016-05-28 15:30:00,152.36
2016-05-28 15:40:00,142.73
2016-05-28 15:50:00,137.37
2016-05-28 16:00:00,135.12
2016-05-28 16:10:00,129.24
2016-05-28 16:20:00,126.17
2016-05-28 16:30:00,128.65
2016-05-28 16:40:00,124.45
2016-05-28 16:50:00,120.3
2016-05-28 17:00:00,119.43
2016-05-28 17:10:00,116.69
2016-05-28 17:20:00,114.79
2016-05-28 17:30:00,111.38
2016-05-28 17:40:00,120.01
2016-05-28 17:50:00,127.65
2016-05-28 18:00:00,134.25
