date,day_name,is_weekend,total_appliances_wh,avg_appliances_wh,total_lights_wh,avg_outdoor_temp_c,avg_outdoor_humidity_pct,avg_windspeed_mps
2016-01-11,Monday,0,5740,136.67,1260,5.92,89.29,6.08
2016-01-12,Tuesday,0,12340,85.69,610,5.57,87.5,5.78
2016-01-13,Wednesday,0,13970,97.01,780,4.86,83.41,5.61
2016-01-14,Thursday,0,21800,151.39,720,3.43,86.42,6.28
2016-01-15,Friday,0,18050,125.35,860,2.67,88.39,7.77
2016-01-16,Saturday,1,18040,125.28,1150,2.19,89.65,3.48
2016-01-17,Sunday,1,20550,142.71,710,0.39,83.87,2.21
2016-01-18,Monday,0,13530,93.96,490,-2.94,82.23,2.36
2016-01-19,Tuesday,0,11990,83.26,390,-2.93,83.7,1.0
2016-01-20,Wednesday,0,16480,114.44,840,-1.62,88.35,2.02
2016-01-21,Thursday,0,13340,92.64,590,0.18,80.46,1.62
2016-01-22,Friday,0,6580,45.69,100,1.6,86.04,4.52
2016-01-23,Saturday,1,13400,93.06,700,5.86,97.07,3.83
2016-01-24,Sunday,1,21640,150.28,1430,6.89,94.72,4.49
2016-01-25,Monday,0,9470,65.76,350,9.53,80.02,3.91
2016-01-26,Tuesday,0,10270,71.32,520,9.55,85.56,6.19
2016-01-27,Wednesday,0,6570,45.62,90,10.22,85.61,9.35
2016-01-28,Thursday,0,5400,37.5,0,5.87,85.53,3.07
2016-01-29,Friday,0,6920,48.06,100,6.65,82.43,8.32
2016-01-30,Saturday,1,18790,130.49,430,6.92,87.34,8.14
2016-01-31,Sunday,1,18640,129.44,1680,7.17,93.08,5.59
2016-02-01,Monday,0,22450,155.9,2180,10.96,85.93,8.31
2016-02-02,Tuesday,0,11220,77.92,2150,8.3,91.45,5.86
2016-02-03,Wednesday,0,19140,132.92,1180,4.89,82.39,4.6
2016-02-04,Thursday,0,14450,100.35,1360,5.7,91.5,4.42
2016-02-05,Friday,0,9010,62.57,350,8.97,93.53,4.55
2016-02-06,Saturday,1,11980,83.19,310,9.75,77.67,7.28
2016-02-07,Sunday,1,11430,79.38,790,8.26,73.98,8.15
2016-02-08,Monday,0,21220,147.36,1440,7.98,76.64,10.63
2016-02-09,Tuesday,0,18110,125.76,470,4.99,89.22,6.25
2016-02-10,Wednesday,0,13880,96.39,750,4.23,91.57,5.49
2016-02-11,Thursday,0,15300,106.25,920,3.54,94.42,3.04
2016-02-12,Friday,0,16970,117.85,570,3.21,84.15,3.57
2016-02-13,Saturday,1,13840,96.11,420,2.3,92.49,3.29
2016-02-14,Sunday,1,14750,102.43,1610,2.73,93.65,3.01
2016-02-15,Monday,0,16950,117.71,1650,2.74,79.46,5.16
2016-02-16,Tuesday,0,13420,93.19,840,0.09,80.26,1.65
2016-02-17,Wednesday,0,9620,66.81,210,-0.5,83.37,1.78
2016-02-18,Thursday,0,12060,83.75,840,1.17,84.2,3.34
2016-02-19,Friday,0,17150,119.1,200,3.16,85.36,3.51
2016-02-20,Saturday,1,14510,100.76,530,8.42,91.21,8.16
2016-02-21,Sunday,1,12760,88.61,1780,10.85,89.77,9.05
2016-02-22,Monday,0,13450,93.4,1120,8.37,91.17,6.19
2016-02-23,Tuesday,0,12770,88.68,1030,4.32,89.11,2.44
2016-02-24,Wednesday,0,11230,77.99,670,2.02,83.41,1.42
2016-02-25,Thursday,0,18010,125.07,1690,2.4,82.31,1.94
2016-02-26,Friday,0,13550,94.1,260,3.08,80.41,1.56
2016-02-27,Saturday,1,11990,83.26,300,3.06,67.58,4.93
2016-02-28,Sunday,1,7700,53.47,110,2.54,64.74,6.39
2016-02-29,Monday,0,22630,157.15,760,2.15,71.72,4.62
2016-03-01,Tuesday,0,10420,72.36,720,2.45,93.74,5.6
2016-03-02,Wednesday,0,13360,92.78,600,5.94,80.29,7.66
2016-03-03,Thursday,0,11810,82.01,1050,4.02,85.15,4.44
2016-03-04,Friday,0,13730,95.35,310,4.07,86.11,3.76
2016-03-05,Saturday,1,13160,91.39,580,2.75,87.33,1.68
2016-03-06,Sunday,1,12920,89.72,610,2.76,93.48,4.61
2016-03-07,Monday,0,20540,142.64,560,1.62,91.92,1.96
2016-03-08,Tuesday,0,10770,74.79,840,3.25,83.18,2.59
2016-03-09,Wednesday,0,12500,86.81,860,5.18,68.39,6.39
2016-03-10,Thursday,0,13380,92.92,900,4.63,73.75,1.36
2016-03-11,Friday,0,10230,71.04,450,4.35,77.46,2.27
2016-03-12,Saturday,1,14200,98.61,390,4.53,79.16,2.17
2016-03-13,Sunday,1,9780,67.92,330,3.91,77.11,4.1
2016-03-14,Monday,0,23620,164.03,650,3.11,76.08,4.17
2016-03-15,Tuesday,0,14010,97.29,810,4.32,78.26,3.46
2016-03-16,Wednesday,0,22810,158.4,1240,5.24,70.9,5.62
2016-03-17,Thursday,0,12510,86.88,1080,4.6,71.39,3.22
2016-03-18,Friday,0,9020,62.64,90,3.83,89.58,2.78
2016-03-19,Saturday,1,16370,113.68,180,5.64,79.85,3.0
2016-03-20,Sunday,1,16150,112.15,130,5.88,79.62,3.19
2016-03-21,Monday,0,11200,77.78,860,6.97,80.46,2.19
2016-03-22,Tuesday,0,10240,71.11,350,6.91,78.16,2.33
2016-03-23,Wednesday,0,12250,85.07,780,7.01,86.78,3.05
2016-03-24,Thursday,0,10100,70.14,490,7.16,80.57,2.74
2016-03-25,Friday,0,25980,180.42,280,7.07,86.89,4.01
2016-03-26,Saturday,1,15690,108.96,400,9.21,76.65,5.83
2016-03-27,Sunday,1,10520,73.06,80,8.97,77.74,6.92
2016-03-28,Monday,0,18330,127.29,220,8.93,74.45,9.07
2016-03-29,Tuesday,0,13170,91.46,740,8.31,74.62,6.56
2016-03-30,Wednesday,0,12630,87.71,620,9.07,74.68,4.34
2016-03-31,Thursday,0,11400,79.17,280,6.92,89.05,2.74
2016-04-01,Friday,0,8580,59.58,10,7.14,79.6,2.03
2016-04-02,Saturday,1,7300,50.69,0,9.33,79.64,2.25
2016-04-03,Sunday,1,10340,71.81,70,15.31,73.84,4.17
