date,actual_Appliances,predicted_Appliances,record_type
2016-05-01 17:50:00,430.0,210.81,Test Evaluation
2016-05-01 18:00:00,450.0,237.65,Test Evaluation
2016-05-01 18:10:00,440.0,262.67,Test Evaluation
2016-05-01 18:20:00,410.0,293.13,Test Evaluation
2016-05-01 18:30:00,100.0,322.0,Test Evaluation
2016-05-01 18:40:00,120.0,273.96,Test Evaluation
2016-05-01 18:50:00,110.0,224.58,Test Evaluation
2016-05-01 19:00:00,120.0,173.2,Test Evaluation
2016-05-01 19:10:00,120.0,137.05,Test Evaluation
2016-05-01 19:20:00,100.0,84.28,Test Evaluation
2016-05-01 19:30:00,170.0,109.9,Test Evaluation
2016-05-01 19:40:00,100.0,118.08,Test Evaluation
2016-05-01 19:50:00,90.0,115.79,Test Evaluation
2016-05-01 20:00:00,90.0,108.06,Test Evaluation
2016-05-01 20:10:00,90.0,100.06,Test Evaluation
2016-05-01 20:20:00,120.0,96.21,Test Evaluation
2016-05-01 20:30:00,120.0,82.42,Test Evaluation
2016-05-01 20:40:00,110.0,88.36,Test Evaluation
2016-05-01 20:50:00,110.0,90.38,Test Evaluation
2016-05-01 21:00:00,100.0,91.24,Test Evaluation
2016-05-01 21:10:00,100.0,105.61,Test Evaluation
2016-05-01 21:20:00,70.0,88.18,Test Evaluation
2016-05-01 21:30:00,80.0,81.12,Test Evaluation
2016-05-01 21:40:00,80.0,77.93,Test Evaluation
2016-05-01 21:50:00,80.0,72.94,Test Evaluation
2016-05-01 22:00:00,80.0,72.23,Test Evaluation
2016-05-01 22:10:00,90.0,70.16,Test Evaluation
2016-05-01 22:20:00,80.0,75.82,Test Evaluation
2016-05-01 22:30:00,70.0,76.07,Test Evaluation
2016-05-01 22:40:00,60.0,73.23,Test Evaluation
2016-05-01 22:50:00,40.0,69.54,Test Evaluation
2016-05-01 23:00:00,40.0,65.09,Test Evaluation
2016-05-01 23:10:00,30.0,56.78,Test Evaluation
2016-05-01 23:20:00,50.0,51.05,Test Evaluation
2016-05-01 23:30:00,60.0,49.53,Test Evaluation
2016-05-01 23:40:00,60.0,51.15,Test Evaluation
2016-05-01 23:50:00,50.0,57.64,Test Evaluation
2016-05-02 00:00:00,50.0,50.3,Test Evaluation
2016-05-02 00:10:00,50.0,55.97,Test Evaluation
2016-05-02 00:20:00,60.0,53.42,Test Evaluation
2016-05-02 00:30:00,50.0,52.56,Test Evaluation
2016-05-02 00:40:00,60.0,53.46,Test Evaluation
2016-05-02 00:50:00,60.0,53.0,Test Evaluation
2016-05-02 01:00:00,60.0,56.98,Test Evaluation
2016-05-02 01:10:00,50.0,57.28,Test Evaluation
2016-05-02 01:20:00,50.0,55.62,Test Evaluation
2016-05-02 01:30:00,50.0,55.54,Test Evaluation
2016-05-02 01:40:00,50.0,53.11,Test Evaluation
2016-05-02 01:50:00,50.0,52.41,Test Evaluation
2016-05-02 02:00:00,20.0,49.88,Test Evaluation
2016-05-02 02:10:00,40.0,45.44,Test Evaluation
2016-05-02 02:20:00,30.0,43.7,Test Evaluation
2016-05-02 02:30:00,50.0,42.48,Test Evaluation
2016-05-02 02:40:00,60.0,42.33,Test Evaluation
2016-05-02 02:50:00,40.0,44.66,Test Evaluation
2016-05-02 03:00:00,50.0,49.9,Test Evaluation
2016-05-02 03:10:00,50.0,50.54,Test Evaluation
2016-05-02 03:20:00,50.0,53.91,Test Evaluation
2016-05-02 03:30:00,60.0,53.46,Test Evaluation
2016-05-02 03:40:00,60.0,53.31,Test Evaluation
2016-05-02 03:50:00,50.0,57.66,Test Evaluation
2016-05-02 04:00:00,50.0,57.57,Test Evaluation
2016-05-02 04:10:00,50.0,57.92,Test Evaluation
2016-05-02 04:20:00,50.0,60.09,Test Evaluation
2016-05-02 04:30:00,50.0,55.85,Test Evaluation
2016-05-02 04:40:00,60.0,55.74,Test Evaluation
2016-05-02 04:50:00,50.0,57.03,Test Evaluation
2016-05-02 05:00:00,70.0,58.22,Test Evaluation
2016-05-02 05:10:00,70.0,63.03,Test Evaluation
2016-05-02 05:20:00,40.0,72.2,Test Evaluation
2016-05-02 05:30:00,40.0,59.6,Test Evaluation
2016-05-02 05:40:00,230.0,56.75,Test Evaluation
2016-05-02 05:50:00,170.0,84.24,Test Evaluation
2016-05-02 06:00:00,60.0,101.37,Test Evaluation
2016-05-02 06:10:00,70.0,96.36,Test Evaluation
2016-05-02 06:20:00,90.0,100.03,Test Evaluation
2016-05-02 06:30:00,80.0,108.35,Test Evaluation
2016-05-02 06:40:00,80.0,71.78,Test Evaluation
2016-05-02 06:50:00,80.0,65.24,Test Evaluation
2016-05-02 07:00:00,80.0,76.99,Test Evaluation
2016-05-02 07:10:00,80.0,76.71,Test Evaluation
2016-05-02 07:20:00,70.0,73.85,Test Evaluation
2016-05-02 07:30:00,80.0,75.42,Test Evaluation
2016-05-02 07:40:00,340.0,77.35,Test Evaluation
2016-05-02 07:50:00,370.0,120.01,Test Evaluation
2016-05-02 08:00:00,80.0,168.55,Test Evaluation
2016-05-02 08:10:00,50.0,170.16,Test Evaluation
2016-05-02 08:20:00,50.0,168.98,Test Evaluation
2016-05-02 08:30:00,40.0,165.32,Test Evaluation
2016-05-02 08:40:00,50.0,104.46,Test Evaluation
2016-05-02 08:50:00,50.0,61.96,Test Evaluation
2016-05-02 09:00:00,50.0,79.66,Test Evaluation
2016-05-02 09:10:00,60.0,76.52,Test Evaluation
2016-05-02 09:20:00,50.0,85.29,Test Evaluation
2016-05-02 09:30:00,70.0,83.52,Test Evaluation
2016-05-02 09:40:00,50.0,85.66,Test Evaluation
2016-05-02 09:50:00,50.0,86.12,Test Evaluation
2016-05-02 10:00:00,60.0,86.75,Test Evaluation
2016-05-02 10:10:00,50.0,88.71,Test Evaluation
2016-05-02 10:20:00,50.0,90.34,Test Evaluation
2016-05-02 10:30:00,50.0,84.6,Test Evaluation
2016-05-02 10:40:00,50.0,87.53,Test Evaluation
2016-05-02 10:50:00,60.0,88.44,Test Evaluation
2016-05-02 11:00:00,50.0,86.84,Test Evaluation
2016-05-02 11:10:00,60.0,85.87,Test Evaluation
2016-05-02 11:20:00,50.0,87.27,Test Evaluation
2016-05-02 11:30:00,50.0,87.41,Test Evaluation
2016-05-02 11:40:00,50.0,86.67,Test Evaluation
2016-05-02 11:50:00,50.0,83.82,Test Evaluation
2016-05-02 12:00:00,60.0,84.07,Test Evaluation
2016-05-02 12:10:00,70.0,84.14,Test Evaluation
2016-05-02 12:20:00,80.0,87.76,Test Evaluation
2016-05-02 12:30:00,100.0,92.05,Test Evaluation
2016-05-02 12:40:00,90.0,100.43,Test Evaluation
2016-05-02 12:50:00,90.0,106.08,Test Evaluation
2016-05-02 13:00:00,70.0,109.6,Test Evaluation
2016-05-02 13:10:00,80.0,108.46,Test Evaluation
2016-05-02 13:20:00,70.0,106.93,Test Evaluation
2016-05-02 13:30:00,90.0,99.31,Test Evaluation
2016-05-02 13:40:00,80.0,99.73,Test Evaluation
2016-05-02 13:50:00,100.0,99.38,Test Evaluation
2016-05-02 14:00:00,90.0,106.54,Test Evaluation
2016-05-02 14:10:00,80.0,107.21,Test Evaluation
2016-05-02 14:20:00,80.0,111.72,Test Evaluation
2016-05-02 14:30:00,80.0,109.7,Test Evaluation
2016-05-02 14:40:00,70.0,109.43,Test Evaluation
2016-05-02 14:50:00,80.0,103.85,Test Evaluation
2016-05-02 15:00:00,90.0,101.5,Test Evaluation
2016-05-02 15:10:00,90.0,104.52,Test Evaluation
2016-05-02 15:20:00,80.0,105.43,Test Evaluation
2016-05-02 15:30:00,80.0,105.91,Test Evaluation
2016-05-02 15:40:00,70.0,105.73,Test Evaluation
2016-05-02 15:50:00,80.0,102.12,Test Evaluation
2016-05-02 16:00:00,60.0,101.34,Test Evaluation
2016-05-02 16:10:00,40.0,106.11,Test Evaluation
2016-05-02 16:20:00,50.0,100.94,Test Evaluation
2016-05-02 16:30:00,70.0,88.56,Test Evaluation
2016-05-02 16:40:00,90.0,87.38,Test Evaluation
2016-05-02 16:50:00,320.0,102.58,Test Evaluation
2016-05-02 17:00:00,330.0,135.98,Test Evaluation
