hour_of_day,avg_appliances_wh,total_appliances_wh,avg_lights_wh,avg_indoor_temp_c,avg_indoor_humidity_pct
0,52.79,43390,3.19,21.98,39.95
1,51.33,42190,1.3,21.81,39.96
2,49.08,40340,0.43,21.65,39.94
3,48.24,39650,0.3,21.5,39.92
4,49.36,40570,0.21,21.36,39.93
5,52.74,43350,0.64,21.24,40.02
6,57.71,47440,1.08,21.15,40.15
7,78.65,64650,3.47,21.07,40.38
8,106.14,87250,4.29,21.05,40.62
9,112.79,92710,4.54,21.06,40.74
10,125.38,103060,4.71,21.13,40.83
11,133.13,109430,3.58,21.25,40.78
12,123.64,101630,3.21,21.42,40.73
13,124.74,102540,2.83,21.63,40.39
14,108.28,89010,2.87,21.8,39.89
15,105.83,86990,2.47,21.92,39.53
16,119.9,98560,2.77,21.99,39.6
17,161.35,133600,4.59,22.0,39.79
18,190.36,156670,7.4,22.06,40.93
19,143.07,117600,7.36,22.24,41.79
20,126.98,104380,9.54,22.34,40.56
21,96.5,79320,7.81,22.37,40.08
22,69.15,56840,7.17,22.3,39.83
23,56.98,46840,5.47,22.15,39.89
